episode,date,step,time_of_day,hour_min,lux,wm2,solar_norm
1,2025-01-01,0,0.000000,00:00,0.00,0.0000,0.000000
1,2025-01-01,1,0.006944,00:10,0.00,0.0000,0.000000
1,2025-01-01,2,0.013889,00:20,0.00,0.0000,0.000000
1,2025-01-01,3,0.020833,00:30,0.00,0.0000,0.000000
1,2025-01-01,4,0.027778,00:40,0.00,0.0000,0.000000
1,2025-01-01,5,0.034722,00:50,0.00,0.0000,0.000000
1,2025-01-01,6,0.041667,01:00,0.00,0.0000,0.000000
1,2025-01-01,7,0.048611,01:10,0.00,0.0000,0.000000
1,2025-01-01,8,0.055556,01:20,0.00,0.0000,0.000000
1,2025-01-01,9,0.062500,01:30,0.00,0.0000,0.000000
1,2025-01-01,10,0.069444,01:40,0.00,0.0000,0.000000
1,2025-01-01,11,0.076389,01:50,0.00,0.0000,0.000000
1,2025-01-01,12,0.083333,02:00,0.00,0.0000,0.000000
1,2025-01-01,13,0.090278,02:10,0.00,0.0000,0.000000
1,2025-01-01,14,0.097222,02:20,0.00,0.0000,0.000000
1,2025-01-01,15,0.104167,02:30,0.00,0.0000,0.000000
1,2025-01-01,16,0.111111,02:40,0.00,0.0000,0.000000
1,2025-01-01,17,0.118056,02:50,0.00,0.0000,0.000000
1,2025-01-01,18,0.125000,03:00,0.00,0.0000,0.000000
1,2025-01-01,19,0.131944,03:10,0.00,0.0000,0.000000
1,2025-01-01,20,0.138889,03:20,0.00,0.0000,0.000000
1,2025-01-01,21,0.145833,03:30,0.00,0.0000,0.000000
1,2025-01-01,22,0.152778,03:40,0.00,0.0000,0.000000
1,2025-01-01,23,0.159722,03:50,0.00,0.0000,0.000000
1,2025-01-01,24,0.166667,04:00,0.00,0.0000,0.000000
1,2025-01-01,25,0.173611,04:10,0.00,0.0000,0.000000
1,2025-01-01,26,0.180556,04:20,0.00,0.0000,0.000000
1,2025-01-01,27,0.187500,04:30,0.00,0.0000,0.000000
1,2025-01-01,28,0.194444,04:40,0.00,0.0000,0.000000
1,2025-01-01,29,0.201389,04:50,0.00,0.0000,0.000000
1,2025-01-01,30,0.208333,05:00,0.00,0.0000,0.000000
